Txhash,Blockno,UnixTimestamp,DateTime (UTC),from,From_PrivateTag,to,To_PrivateTag,Quantity,Method
0x7adc2347f01d052974adf647332c2696d9d5a7f84f1f225284edb5f93c5c00a6,18908899,1704067259,2024/1/1 00:00,0x5fff56c053d5428af6c34341535e0f6f9d5ebb4e,-,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,-,"1,300.65",Transfer
0x23e9fa0c5b993cd3484e4e460e3eddb4ea7266afa056b9f14cd8547b21336f46,18909891,1704079331,2024/1/1 03:22,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x33e6ab970b5a87a327e6bc13d65760697b4f5527,-,"2,152.56",-
0xaa400f6964fd179a6f9819f72847674be637ab8100cfa5aebe7ae0589dddad2c,18910387,1704085379,2024/1/1 05:02,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x1dfc1f20797929d21e9a6293d6b77160876d8197,-,64.21122483,Sell To Uniswap
0xf481d34d3e35565cc4dad84804f03593da6f96232002f16ab4ca2718ae9dc853,18910845,1704090923,2024/1/1 06:35,0x2fb9036c195d7ebc1c40c880c039cdcbf4f752bc,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,183.7764125,Multiplex Batch Sell Token For Eth
0xf481d34d3e35565cc4dad84804f03593da6f96232002f16ab4ca2718ae9dc853,18910845,1704090923,2024/1/1 06:35,0x2fb9036c195d7ebc1c40c880c039cdcbf4f752bc,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,166.273897,Multiplex Batch Sell Token For Eth
0x6526b41ec4e46e7d3e1ca2dbea17aa076600be34be8f9219eef2002f74c79d1f,18910846,1704090935,2024/1/1 06:35,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,149.1104054,-
0x7309ab49ed1aea59404ccc196c4ef1013dc01a1b2910c2913e889750bb4476af,18911368,1704097283,2024/1/1 08:21,0x8782163068c7cd74d2510768a61135c1e4eb07b3,-,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,"3,000",Transfer
0x792521bdeac4f7755c2183231f18af7606e1ac38e26c62f086e2f60b97b6a724,18911599,1704100079,2024/1/1 09:07,0x5f65f7b609678448494de4c87521cdf6cef1e932,-,0x017aab696ba097a6e26518f50538dcc64a26b46b,-,6.192113959,Transfer ERC20
0xf2ad6c2ad84c82823ac9be1ca26d6c9283bb2d8dbc17cff2bec94bcb65d4a48b,18914830,1704139379,2024/1/1 20:02,0xe9fb1983f5766e1ed4d035831f1d911158c4a832,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,226.9045187,Sell To Uniswap
0x935f1b705896b7b3f01139a7e2bd125ff228e080eeb3264537c3c5074cc267a6,18914831,1704139391,2024/1/1 20:03,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,167.285062,-
0xcb53ac2231fa247884eae3719f99e171f63163c23a5da1b342d6a01de4649820,18914881,1704140003,2024/1/1 20:13,0xe3e90f77b9b513291ec22a663b069205e169de83,-,0xebc18d25d8122da21f73a6bcb78971671f21f6ff,-,"1,055.98",Transfer
0x07081c3e390eac9c6fc10add99dd16437a9bc70d570e86fd50a23a19801d2c79,18915014,1704141599,2024/1/1 20:39,0xa48f7ada48260bcd7984fd3cbb36b6e8cc3eccc4,-,0xf979412d1b5cc52616839cf51049f9bea76ec784,-,"3,339.58",Transfer
0x902e12dd4a20b41d8637ed3cadbd573db9323b031d709c210e4e8b1995927ed2,18915860,1704151895,2024/1/1 23:31,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,-,123.9780559,-
0xdd3eb76c09cc9bf3500503d4a98ddf9a94817eaf825db5c8a050d734214ce67f,18915860,1704151895,2024/1/1 23:31,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,0x91ca698d0be6f7e62f13342b37bf50152a2cc666,-,291.4898547,Multiplex Batch Sell Eth For Token
0xdd3eb76c09cc9bf3500503d4a98ddf9a94817eaf825db5c8a050d734214ce67f,18915860,1704151895,2024/1/1 23:31,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x91ca698d0be6f7e62f13342b37bf50152a2cc666,-,237.497012,Multiplex Batch Sell Eth For Token
0xbb4963785ff67b7d8656c15773afda7a46571b08e69c8f0762a7a76b2dbec588,18915860,1704151895,2024/1/1 23:31,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,123.9780548,-
0x7f1ee291fcc0b18377777146f2ff73cf7d38fdfd783ba82e2e98d30ab76ab158,18917224,1704168431,2024/1/2 04:07,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x8ebcfcb7f06f78ca184ef09c755588d4e1b96cc9,-,124.849494,-
0x271b24c8283f5b329df66c555f424373fd5b851c8865653b9f5a847b13d08733,18922429,1704231587,2024/1/2 21:39,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x63372fea9a9b053dbdadb68011f58baa8a7bf1d4,-,91.44070988,Sell To Uniswap
0x158de72903403b0e440830da2415f9f87247f2e59cc698dbdd89e2f93e0dc5b7,18922939,1704237791,2024/1/2 23:23,0x61ed4b62e03798305818607c7160b2abff15cfed,-,0x5fff56c053d5428af6c34341535e0f6f9d5ebb4e,-,"1,063.97",Transfer
0x022fd5a04ff599c81049fdd37b40f55d10ac8ee0fa69bf6a7bea880dde1a4686,18922966,1704238115,2024/1/2 23:28,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,218.2932627,Transfer
0x7722cae8a0d777e48753bc10eba61127fa7f4e12d432007bec47d82ffd4b49f3,18922966,1704238115,2024/1/2 23:28,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,218.2932627,-
0x4c6d5f22891fcf7122e547d9c44fff33d07f83266bb8b3ca549c5ac25de2a688,18922976,1704238235,2024/1/2 23:30,0x5fff56c053d5428af6c34341535e0f6f9d5ebb4e,-,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,-,"1,063.97",Transfer
0xa3e7782ae7048a8da081db0f4f96238049ad6471998bc9645e971c463280d9f0,18923115,1704239903,2024/1/2 23:58,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x64462ac601ddaeb3867b32a9c51f5b60cb7c7afc,-,37.15145988,Sell To Uniswap
0x04ee49fd0f803e5c75e82ffc4ed696fa98b972812e2130ddc8ad519d36aece54,18923286,1704241967,2024/1/3 00:32,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x660000c7feae0027f565680000005c683400e700,-,83.78987019,-
0x9e3f987ace7a751ee0670e792f262f2c622f3a399b514dd01b8db05e9e29dc8f,18923286,1704241967,2024/1/3 00:32,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x0a1e865b270d1241b410928614c8c757af119bf8,-,229.7684102,Multiplex Batch Sell Eth For Token
0x9e3f987ace7a751ee0670e792f262f2c622f3a399b514dd01b8db05e9e29dc8f,18923286,1704241967,2024/1/3 00:32,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,0x0a1e865b270d1241b410928614c8c757af119bf8,-,126.1796165,Multiplex Batch Sell Eth For Token
0xf5e28ba3eaf2f4635bdc089cc36e1a83b84730c54175572a053ea1b4880129f6,18923286,1704241967,2024/1/3 00:32,0x660000c7feae0027f565680000005c683400e700,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,83.78986909,-
0x8a247f4fd616d73bd0d246696187d0a08079cc5aac280db81fa6fa73cf5d797b,18923294,1704242063,2024/1/3 00:34,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,239.2155234,Transfer
0x6668ac2f101c20937c90be76ce5214b6ab86bbcc18ff312422e5e438ddff618c,18923294,1704242063,2024/1/3 00:34,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,239.2155234,-
0x3255dcc065987decaace6a0ef634c0350683470bf00e1da6e88633b6dc6844a4,18923301,1704242147,2024/1/3 00:35,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,101.7549732,-
0xd49ecb406888361243f867c80411ecd8533b423c4c14c256b3b889b157f7f96a,18923305,1704242195,2024/1/3 00:36,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,216.0967045,Transfer
0x60e36b402aecef2a16f6eb2817a6e06abb512326d503c4a6f75a73f22dd449af,18923306,1704242207,2024/1/3 00:36,0xcb83ca9633ad057bd88a48a5b6e8108d97ad4472,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,216.0967045,-
0xb3174d3412753ea563e88825c4b92e7ea18ca745e8ebf3e97af207174df702dd,18923307,1704242219,2024/1/3 00:36,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,106.224341,-
0x548bcb7e6588714edcd7eead334fbf7a26a8ec62e6bdd6ba239d9596516bae99,18924045,1704251147,2024/1/3 03:05,0x6bec20085b5dd65c67324996eecadab1c39cb448,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,245.8160815,Multiplex Multi Hop Sell Token For Token
0x228ee84abae145aec602e38c58632288f94de2d60913b99bca181a8263355efd,18924099,1704251795,2024/1/3 03:16,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,129.6026989,-
0x788d704496d00a3c3cabcdb503e7161557b65f2db0c2d467b489f17bc22e0a07,18924395,1704255371,2024/1/3 04:16,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x8f73506b61f97944b79d08cfe7749209c8551a5e,-,47.5756998,-
0x20ca75f2f4fc4971f5fa25a850dee6cfab635cb25354747e3a95e621ac1e5883,18925762,1704271907,2024/1/3 08:51,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x9c43f93e1f6eeac73f0790478cbbae730b4dbb7c,-,187.7475716,Sell To Uniswap
0xecb4e4a1461ea2d9f78af4f939cb9791cd07f917b5be1e6b8bf1cded6bc25999,18925881,1704273371,2024/1/3 09:16,0xcf7105fde573695d62666aefa4e1691bf3ab50d5,-,0x3293ba2befcf028239354d4985453678b892418d,-,48.46490547,Transfer
0x605b44b7a04ea118b906b7c07d409040d69f4d10a575a56906edb5b76458d51d,18927375,1704291491,2024/1/3 14:18,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x69cfbcb448210e9b751ad5520b028667950b54ee,-,141.5981079,-
0x4bc3ea2569e127772a175140efd1705b2e4df1a1c412d4313654b79362546cd4,18927567,1704293843,2024/1/3 14:57,0xed4a0b7899cb081a370dc1fa11db9cdeb903e3ca,-,0x0395063f30226655ae54891b4f5dbe83572872bb,-,847.033302,Transfer
0x3c675d57f12e203d33ffd8ff1ece870591f0d92ef34b64ff83c41849ed0ba12d,18927596,1704294191,2024/1/3 15:03,0xebc18d25d8122da21f73a6bcb78971671f21f6ff,-,0x5fff56c053d5428af6c34341535e0f6f9d5ebb4e,-,907.11524,Transfer
0x1abebd048b3c9d85b5ecb18a5f8ca00b9c2ddc7dbe2042d33fe2b5f7d41048c0,18927604,1704294287,2024/1/3 15:04,0x0395063f30226655ae54891b4f5dbe83572872bb,-,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,-,847.033302,Transfer
0x08f658cf8e217ba54f115797df4f32d63b8e4a61015ec86ed2b8769b7e3b75e4,18927632,1704294623,2024/1/3 15:10,0x5fff56c053d5428af6c34341535e0f6f9d5ebb4e,-,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,-,907.115239,Transfer
0x7fb250753027c79858655990e757fe39548693d1f5f0aeda8b6f0ceaf3f3c8ad,18928286,1704302507,2024/1/3 17:21,0x13307b8854a95946b54a904100afd0767a7a577b,-,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,"1,254.00",Transfer
0x778f7112eeff07aff0b7727ce069616f2aef81a64c288afee3871747923af056,18928505,1704305183,2024/1/3 18:06,0x5394de13dd011da16acc57b0ac55029fa872335c,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,437.0793132,Multiplex Batch Sell Token For Eth
0x778f7112eeff07aff0b7727ce069616f2aef81a64c288afee3871747923af056,18928505,1704305183,2024/1/3 18:06,0x5394de13dd011da16acc57b0ac55029fa872335c,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,357.6103472,Multiplex Batch Sell Token For Eth
0xf9295bd3649b293d4e6130217c3e9d55ff9606f7b88b0fa6195706ab3f91073f,18928506,1704305195,2024/1/3 18:06,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0xd0be1fded5d964619b92b3672c08c43305529be0,-,298.3497907,Loop
0x5f8fca0c16ebf1ba0bf826a6df98e27d4574146f4aa607c05788da5b31bf621e,18928508,1704305219,2024/1/3 18:06,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,276.6082187,-
0xfeaf5563cfd57a288cef8e1a51d6def6b8c115b5923a1e0eb469864673759d81,18931437,1704340691,2024/1/4 03:58,0x226db6accb23a70d736dd76e6339e02d449e8fac,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,282.5,Multiplex Batch Sell Token For Eth
0xfeaf5563cfd57a288cef8e1a51d6def6b8c115b5923a1e0eb469864673759d81,18931437,1704340691,2024/1/4 03:58,0x226db6accb23a70d736dd76e6339e02d449e8fac,-,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,282.5,Multiplex Batch Sell Token For Eth
0x896c2e675aabc698747e8304b059a73b186a8cb74756a4e56dfa3cd1b073fa11,18931438,1704340703,2024/1/4 03:58,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,213.1383327,-
0xe7214ee9ead3fbeab4a554dc39cf57c5a9eec7c1855431a729f03fc0ab36539f,18931438,1704340703,2024/1/4 03:58,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x58781bec079b6485d1be088422d7f9f35f8778cd,-,205.2616,Swap Exact ETH For Tokens
0xfc09fa45a0045e477cbf0a3ba276358349deb16f7a0f2ea0601592091fdcfb9e,18931503,1704341483,2024/1/4 04:11,0x5f65f7b609678448494de4c87521cdf6cef1e932,-,0x117d3f6a5448c6dbd265c1fd7915a2b290aafb95,-,29.46839983,Transfer ERC20
